anger,depressed,sed,joy,love,surprised
https://www.youtube.com/embed/pzuAK4LPV_8,https://www.youtube.com/embed/YfQzz00Oc_M,https://www.youtube.com/embed/cFqxCjCNGNo,https://www.youtube.com/embed/yuYfU4f9Vo4,https://www.youtube.com/embed/nSlKLBICAso,https://www.youtube.com/embed/yuYfU4f9Vo4
https://www.youtube.com/embed/_Ua94QYQ-o0,https://www.youtube.com/embed/S0K5dhQl7tY,https://www.youtube.com/channel/UCNS7BQ7gEJxTbEDsffsGqkg,https://www.youtube.com/embed/J10FunndAzs,https://www.youtube.com/embed/eWP6dKzYfuE,https://www.youtube.com/embed/J10FunndAzs
https://www.youtube.com/embed/5-V462WSXLU,https://www.youtube.com/embed/IYg86Nuqc-4,https://www.youtube.com/embed/Tjrbc8JIKWc,https://www.youtube.com/embed/l9Cqc6PZpD4,https://www.youtube.com/embed/dCXid3ysLI0,https://www.youtube.com/embed/l9Cqc6PZpD4
